iter	MultiClass
0	1.225505651
1	1.087131922
2	0.9850513418
3	0.9055667191
4	0.8306386605
5	0.7679221547
6	0.7083452102
7	0.6586121294
8	0.6177906755
9	0.575246544
10	0.5406169409
11	0.5098602767
12	0.4813663614
13	0.4563544043
14	0.434068184
15	0.4119246476
16	0.3935961566
17	0.3747519051
18	0.3576224059
19	0.3414863206
20	0.3267810379
21	0.3138548818
22	0.302159259
23	0.2913636308
24	0.2810369345
25	0.2714021363
26	0.2625625473
27	0.2545444463
28	0.2466346522
29	0.2407448914
30	0.2342358455
31	0.2285767514
32	0.2229927765
33	0.2169956403
34	0.211773642
35	0.2065736642
36	0.2025306113
37	0.1987258937
38	0.1951122056
39	0.1920900209
40	0.1886560954
41	0.1851071668
42	0.1820842537
43	0.1788023375
44	0.176013077
45	0.1729958235
46	0.1705416751
47	0.1675354328
48	0.1652345041
49	0.1629706631
50	0.1612373899
51	0.1592543471
52	0.1574901725
53	0.1553538743
54	0.1535604809
55	0.1522472646
56	0.1505285981
57	0.1486379656
58	0.14657038
59	0.1454772302
60	0.1434730587
61	0.1419439816
62	0.1402428211
63	0.1387076635
64	0.1372422329
65	0.1361509333
66	0.1350277517
67	0.1337803878
68	0.1327016309
69	0.131586999
70	0.1306758671
71	0.1297267422
72	0.1286981529
73	0.1280402553
74	0.127163938
75	0.1262599186
76	0.1254044134
77	0.1245643296
78	0.1237846867
79	0.1229361153
80	0.1223948704
81	0.1214158774
82	0.1205915455
83	0.1198815733
84	0.1190855643
85	0.1182739198
86	0.1176586748
87	0.1169715275
88	0.1163408342
89	0.1156676429
90	0.1151219457
91	0.1144833787
92	0.1139185212
93	0.1130809382
94	0.1125420461
95	0.1120574754
96	0.1115912681
97	0.110840713
98	0.1100673633
99	0.1095253245
100	0.1091349462
101	0.1086251057
102	0.1081919533
103	0.1078631065
104	0.1072753762
105	0.106750483
106	0.1060756574
107	0.1055256797
108	0.1051646908
109	0.1047612959
110	0.1042391288
111	0.1036755629
112	0.1032837801
113	0.1028815229
114	0.1025688643
115	0.102004394
116	0.1015449646
117	0.1009932257
118	0.1005613458
119	0.1001975166
120	0.09975640103
121	0.09921657645
122	0.09874988229
123	0.09827705549
124	0.09776067137
125	0.09733718659
126	0.09696972132
127	0.09669361991
128	0.09627463851
129	0.09578320484
130	0.09546673719
131	0.09509618567
132	0.09473787013
133	0.09429964805
134	0.09402758914
135	0.09339842558
136	0.09291932997
137	0.09265142558
138	0.0923528497
139	0.09185322056
140	0.09159169733
141	0.09096382604
142	0.09050319285
143	0.09021167981
144	0.08978352646
145	0.08943259025
146	0.08914285683
147	0.08880222293
148	0.08859833651
149	0.088174193
150	0.08790625537
151	0.08757952231
152	0.08719600535
153	0.08683506901
154	0.08659926258
155	0.08641625202
156	0.08624049214
157	0.08601967235
158	0.0858789038
159	0.08559746231
160	0.08542263193
161	0.08510552027
162	0.0846517431
163	0.08440255509
164	0.0841481157
165	0.0836670201
166	0.08349142089
167	0.0832386631
168	0.08293129184
169	0.082777194
170	0.08249444215
171	0.08208293425
172	0.08178915078
173	0.08162491947
174	0.08126965012
175	0.08107154302
176	0.08087341233
177	0.08045049716
178	0.0802226164
179	0.07995105823
180	0.07968830954
181	0.07954756763
182	0.07922056987
183	0.07884227461
184	0.07861300935
185	0.07837648783
186	0.07819879897
187	0.07775839655
188	0.07732339866
189	0.07705968252
190	0.07682690029
191	0.07650590102
192	0.07618557014
193	0.07599853666
194	0.07583880243
195	0.07553695009
196	0.07530082815
197	0.07510847971
198	0.07475396388
199	0.07465654343
200	0.07444334657
201	0.07416841031
202	0.07396788913
203	0.07375308385
204	0.07358101279
205	0.07339629072
206	0.07312705216
207	0.07293651422
208	0.07257993844
209	0.07244179304
210	0.07216070546
211	0.07196065223
212	0.07171616827
213	0.07156892715
214	0.07136968826
215	0.07118838051
216	0.07100264182
217	0.07078606861
218	0.07063876849
219	0.07044522563
220	0.07026268022
221	0.07001534088
222	0.06989846299
223	0.06979033735
224	0.06950299968
225	0.06931005675
226	0.06909993584
227	0.06886700923
228	0.0687272702
229	0.0686061237
230	0.06843653928
231	0.06814013219
232	0.06794782918
233	0.06759799296
234	0.06746118845
235	0.06715634799
236	0.06690904984
237	0.06672086696
238	0.06645896938
239	0.06633719859
240	0.06623548283
241	0.06609125512
242	0.06582824104
243	0.06568752489
244	0.06552478994
245	0.06535514921
246	0.06508052926
247	0.064864713
248	0.06469737125
249	0.06441541686
250	0.06424017663
251	0.06412006389
252	0.06394151395
253	0.06381383205
254	0.06364936932
255	0.06348418021
256	0.06334996983
257	0.06324918078
258	0.06314648868
259	0.06302457656
260	0.06285621729
261	0.06272957917
262	0.06261681524
263	0.06255169037
264	0.06241826404
265	0.06231834282
266	0.06215506328
267	0.06195046441
268	0.06180413223
269	0.06166855473
270	0.06154459505
271	0.06143581598
272	0.06136804543
273	0.06128904414
274	0.06112914157
275	0.06082417386
276	0.06066429573
277	0.06041661908
278	0.06033257623
279	0.06024021214
280	0.06013260402
281	0.05992917671
282	0.05972916355
283	0.05961885029
284	0.05949179035
285	0.05931058366
286	0.05916663482
287	0.0590163485
288	0.0588887441
289	0.05872973288
290	0.05862539741
291	0.0584426157
292	0.0583398896
293	0.05824872179
294	0.05817574982
295	0.05796747566
296	0.0578303204
