iter	Passed	Remaining
405	6053	8856
406	6068	8841
407	6082	8825
408	6096	8809
409	6110	8793
410	6125	8778
411	6139	8762
412	6153	8746
413	6167	8729
414	6181	8713
415	6195	8696
416	6209	8680
417	6223	8664
418	6237	8649
419	6251	8632
420	6265	8616
421	6279	8601
422	6294	8585
423	6308	8570
424	6323	8555
425	6338	8541
426	6353	8526
427	6369	8511
428	6384	8497
429	6398	8481
430	6412	8465
431	6426	8450
432	6441	8434
433	6455	8418
434	6469	8402
435	6483	8386
436	6497	8370
437	6512	8356
438	6526	8340
439	6541	8325
440	6555	8310
441	6570	8294
442	6584	8279
443	6598	8263
444	6613	8247
445	6627	8232
446	6641	8217
447	6656	8201
448	6670	8185
449	6684	8169
450	6698	8153
451	6712	8137
452	6726	8122
453	6741	8107
454	6757	8094
455	6772	8079
456	6786	8063
457	6805	8053
458	6834	8055
459	6859	8052
460	6875	8039
461	6890	8023
462	6904	8007
463	6918	7991
464	6934	7978
465	6948	7962
466	6963	7947
467	6977	7931
468	6990	7915
469	7005	7899
470	7019	7884
471	7034	7869
472	7048	7853
473	7063	7838
474	7077	7822
475	7091	7807
476	7106	7791
477	7120	7776
478	7134	7760
479	7149	7744
480	7163	7729
481	7177	7713
482	7194	7700
483	7208	7684
484	7222	7668
485	7236	7653
486	7251	7638
487	7264	7622
488	7279	7606
489	7293	7590
490	7308	7575
491	7323	7561
492	7337	7545
493	7351	7530
494	7365	7514
495	7380	7499
496	7393	7482
497	7408	7467
498	7422	7452
499	7436	7436
500	7451	7421
501	7465	7405
502	7479	7389
503	7492	7373
504	7506	7358
505	7521	7342
506	7534	7326
507	7548	7311
508	7563	7295
509	7578	7280
510	7595	7268
511	7609	7252
512	7624	7237
513	7639	7222
514	7652	7207
515	7666	7191
516	7682	7176
517	7696	7161
518	7710	7145
519	7726	7131
520	7740	7116
521	7754	7100
522	7768	7085
523	7782	7069
524	7797	7054
525	7811	7039
526	7825	7024
527	7840	7008
528	7854	6993
529	7868	6977
530	7882	6962
531	7896	6946
532	7910	6931
533	7924	6915
534	7938	6899
535	7952	6883
536	7965	6867
537	7980	6853
538	7994	6837
539	8008	6822
540	8022	6806
541	8035	6790
542	8050	6775
543	8063	6759
544	8077	6743
545	8091	6728
546	8104	6712
547	8119	6696
548	8132	6681
549	8146	6665
550	8160	6649
551	8173	6633
552	8186	6617
553	8200	6602
554	8214	6586
555	8228	6570
556	8241	6554
557	8253	6537
558	8267	6522
559	8281	6506
560	8295	6491
561	8309	6475
562	8321	6459
563	8334	6443
564	8348	6427
565	8361	6411
566	8375	6396
567	8387	6379
568	8400	6363
569	8413	6347
570	8426	6330
571	8439	6314
572	8452	6298
573	8465	6282
574	8478	6266
575	8490	6250
576	8503	6233
577	8516	6218
578	8530	6202
579	8542	6185
580	8554	6169
581	8567	6153
582	8579	6136
583	8592	6120
584	8605	6104
585	8617	6088
586	8629	6071
587	8642	6055
588	8654	6039
589	8666	6022
590	8679	6006
591	8691	5989
592	8703	5973
593	8715	5956
594	8727	5940
595	8738	5923
596	8752	5908
597	8765	5892
598	8777	5876
599	8789	5859
600	8801	5843
601	8813	5826
602	8825	5810
603	8837	5793
604	8849	5778
605	8861	5761
606	8873	5745
607	8885	5728
608	8898	5713
609	8911	5697
610	8922	5680
611	8934	5664
612	8946	5648
613	8958	5631
614	8969	5615
615	8981	5598
616	8993	5582
617	9004	5565
618	9016	5549
619	9028	5533
620	9039	5517
621	9051	5500
622	9062	5484
623	9074	5467
624	9085	5451
625	9097	5434
626	9108	5418
627	9119	5401
628	9131	5385
629	9142	5369
630	9157	5355
631	9169	5338
632	9180	5322
633	9191	5306
634	9203	5290
635	9215	5274
636	9227	5258
637	9239	5242
638	9251	5226
639	9263	5210
640	9274	5194
641	9286	5178
642	9298	5162
643	9309	5146
644	9321	5130
645	9333	5114
646	9344	5098
647	9356	5082
648	9368	5066
649	9380	5050
650	9392	5035
651	9403	5019
652	9415	5003
653	9426	4987
654	9438	4971
655	9450	4955
656	9462	4939
657	9473	4923
658	9485	4908
659	9496	4892
660	9507	4876
661	9519	4860
662	9530	4844
663	9543	4829
664	9556	4814
665	9567	4798
666	9579	4782
667	9591	4766
668	9604	4752
669	9617	4737
670	9629	4721
671	9641	4705
672	9652	4690
673	9665	4674
674	9676	4659
675	9689	4644
676	9701	4628
677	9712	4612
678	9724	4597
679	9735	4581
680	9747	4566
681	9759	4550
682	9770	4534
683	9781	4519
684	9793	4503
685	9805	4488
686	9817	4472
687	9828	4457
688	9840	4441
689	9852	4426
690	9864	4411
691	9875	4395
