iter	MultiClass
0	1.221027728
1	1.091459841
2	0.9896949992
3	0.9058355697
4	0.8318488669
5	0.7675503637
6	0.7110493937
7	0.6629656353
8	0.6196335958
9	0.5775932163
10	0.5421172209
11	0.5109520497
12	0.4815714375
13	0.455349466
14	0.4331110646
15	0.4112170735
16	0.39183179
17	0.3732605718
18	0.3571521982
19	0.3421980409
20	0.3273710322
21	0.3159867173
22	0.3047944678
23	0.294099431
24	0.2829516297
25	0.2720203103
26	0.2630554094
27	0.25533805
28	0.2482524414
29	0.2409809337
30	0.2342510067
31	0.2282046162
32	0.2226677093
33	0.2171863567
34	0.2122160848
35	0.2071635967
36	0.2023843626
37	0.1983168562
38	0.1948618808
39	0.1913209568
40	0.1880649252
41	0.1854792503
42	0.1822285303
43	0.1790288662
44	0.1762243584
45	0.1739011669
46	0.1708892854
47	0.1680697535
48	0.1653309259
49	0.1628476204
50	0.1604688298
51	0.1584376968
52	0.1563072958
53	0.15467385
54	0.1528337132
55	0.1511006939
56	0.1494459907
57	0.1479327635
58	0.1462081123
59	0.1450347856
60	0.1436808215
61	0.1423932114
62	0.1410743696
63	0.1398854167
64	0.1387893117
65	0.1370157406
66	0.13596829
67	0.1347136377
68	0.1332633338
69	0.1323701055
70	0.1313822662
71	0.1305639277
72	0.129702126
73	0.1289213838
74	0.1279230516
75	0.1269876404
76	0.1260517051
77	0.1251880595
78	0.1243422827
79	0.1233732751
80	0.1227401866
81	0.1218835016
82	0.1212020929
83	0.1203671676
84	0.1197670437
85	0.1188598469
86	0.118433945
87	0.1180127681
88	0.1172403626
89	0.116353456
90	0.1158352431
91	0.1149699768
92	0.1143326826
93	0.1138729824
94	0.1132557506
95	0.112669628
96	0.1123782156
97	0.1118370922
98	0.1111833079
99	0.1106222256
100	0.1099451848
101	0.1095589572
102	0.1091429459
103	0.1088359025
104	0.1081645442
105	0.1078057957
106	0.1068031265
107	0.1062924067
108	0.1058142146
109	0.1052405984
110	0.1049497246
111	0.1045116019
112	0.1038683615
113	0.1033857592
114	0.1028752934
115	0.1023855717
116	0.1019719959
117	0.1015899795
118	0.1008852271
119	0.1005031551
120	0.1001552297
121	0.09968044016
122	0.09918843712
123	0.09892444814
124	0.09851078304
125	0.09811854958
126	0.09770164414
127	0.09725672325
128	0.09668312706
129	0.09641673951
130	0.09594325557
131	0.09552436882
132	0.09506230835
133	0.09481671513
134	0.09454686558
135	0.09429228993
136	0.09390545573
137	0.09364385862
138	0.09332094321
139	0.09305210778
140	0.09261641476
141	0.09217510549
142	0.09198239889
143	0.09172070276
144	0.09144345979
145	0.09107710784
146	0.09079587834
147	0.09044535381
148	0.09020599824
149	0.08999025803
150	0.0896205992
151	0.08944582856
152	0.08891827083
153	0.0885512494
154	0.08817694381
155	0.08781359378
156	0.08748310283
157	0.08730674492
158	0.08700720156
159	0.08665865962
160	0.08635639031
161	0.08607042484
162	0.08580388751
163	0.08558309288
164	0.08528980533
165	0.08516486257
166	0.08489689327
167	0.08467730449
168	0.08439379741
169	0.08416597417
170	0.08396378542
171	0.08371632753
172	0.08346637432
173	0.08313410187
